year_revisited,state,season,colony_lost_pct
2020,north carolina,Summer,11.5
2020,north carolina,Winter,14.0
2020,north dakota,Summer,8.0
2020,north dakota,Winter,7.5
2020,ohio,Summer,9.5
2020,ohio,Winter,21.5
2020,oklahoma,Summer,11.5
2020,oklahoma,Winter,5.5
2020,oregon,Summer,6.5
2020,oregon,Winter,8.0
2020,other states,Summer,10.5
2020,other states,Winter,9.0
2020,pennsylvania,Summer,5.5
2020,pennsylvania,Winter,13.0
2020,south carolina,Summer,11.0
2020,south carolina,Winter,11.0
2020,south dakota,Summer,15.0
2020,south dakota,Winter,5.0
2020,tennessee,Summer,12.0
2020,tennessee,Winter,15.5
2020,texas,Summer,7.0
2020,texas,Winter,8.5
2020,utah,Summer,8.0
2020,utah,Winter,10.0
2020,vermont,Summer,3.0
2020,vermont,Winter,5.0
2020,virginia,Summer,14.5
2020,virginia,Winter,15.5
2020,washington,Summer,5.0
2020,washington,Winter,7.5
2020,west virginia,Summer,7.5
2020,west virginia,Winter,16.5
2020,wisconsin,Summer,7.5
2020,wisconsin,Winter,12.5
2020,wyoming,Summer,9.0
2020,wyoming,Winter,6.5
2021,alabama,Summer,21.5
2021,alabama,Winter,8.5
2021,arizona,Summer,19.0
2021,arizona,Winter,19.0
2021,arkansas,Summer,11.0
2021,arkansas,Winter,16.0
2021,california,Summer,7.5
2021,california,Winter,14.5
2021,colorado,Summer,21.0
2021,colorado,Winter,15.0
2021,connecticut,Summer,2.5
2021,connecticut,Winter,15.0
2021,florida,Summer,13.0
2021,florida,Winter,10.0
2021,georgia,Summer,17.0
2021,georgia,Winter,17.0
2021,hawaii,Summer,3.5
2021,hawaii,Winter,8.0
2021,idaho,Summer,9.5
2021,idaho,Winter,9.5
2021,illinois,Summer,6.5
2021,illinois,Winter,18.0
2021,indiana,Summer,7.0
2021,indiana,Winter,16.0
2021,iowa,Summer,8.0
2021,iowa,Winter,10.5
2021,kansas,Summer,21.0
2021,kansas,Winter,26.0
2021,kentucky,Summer,6.0
2021,kentucky,Winter,14.5
2021,louisiana,Summer,7.5
2021,louisiana,Winter,8.0
2021,maine,Summer,10.0
2021,maine,Winter,5.5
2021,maryland,Summer,6.0
2021,maryland,Winter,19.0
2021,massachusetts,Summer,7.5
2021,massachusetts,Winter,12.0
2021,michigan,Summer,5.0
2021,michigan,Winter,6.0
2021,minnesota,Summer,6.5
2021,minnesota,Winter,6.5
2021,mississippi,Summer,11.5
2021,mississippi,Winter,12.5
2021,missouri,Summer,10.5
2021,missouri,Winter,13.5
2021,montana,Summer,4.0
2021,montana,Winter,8.0
2021,nebraska,Summer,8.5
2021,nebraska,Winter,10.0
2021,new jersey,Summer,2.0
2021,new jersey,Winter,2.5
2021,new mexico,Summer,6.5
2021,new mexico,Winter,5.0
2021,new york,Summer,7.0
2021,new york,Winter,12.0
2021,north carolina,Summer,9.5
2021,north carolina,Winter,14.0
2021,north dakota,Summer,6.5
2021,north dakota,Winter,5.0
2021,ohio,Summer,7.0
2021,ohio,Winter,15.5
2021,oklahoma,Summer,14.5
2021,oklahoma,Winter,5.0
2021,oregon,Summer,7.0
2021,oregon,Winter,8.5
2021,other states,Summer,3.5
2021,other states,Winter,15.5
2021,pennsylvania,Summer,7.5
2021,pennsylvania,Winter,15.5
2021,south carolina,Summer,10.0
2021,south carolina,Winter,10.5
2021,south dakota,Summer,7.5
2021,south dakota,Winter,4.5
2021,tennessee,Summer,6.5
2021,tennessee,Winter,10.5
2021,texas,Summer,10.0
2021,texas,Winter,12.5
2021,utah,Summer,10.0
2021,utah,Winter,13.0
2021,vermont,Summer,0.5
2021,vermont,Winter,10.0
2021,virginia,Summer,7.0
2021,virginia,Winter,15.5
2021,washington,Summer,4.0
2021,washington,Winter,12.0
2021,west virginia,Summer,4.5
2021,west virginia,Winter,10.0
2021,wisconsin,Summer,7.5
2021,wisconsin,Winter,9.5
2021,wyoming,Summer,7.5
2021,wyoming,Winter,10.5
2022,alabama,Summer,11.0
2022,alabama,Winter,11.0
2022,arizona,Summer,10.0
2022,arizona,Winter,16.0
2022,arkansas,Summer,13.0
2022,arkansas,Winter,7.5
2022,california,Summer,8.0
2022,california,Winter,8.0
2022,colorado,Summer,7.0
2022,colorado,Winter,9.0
2022,connecticut,Summer,1.0
2022,connecticut,Winter,8.0
2022,florida,Summer,11.0
2022,florida,Winter,10.0
2022,georgia,Summer,19.0
2022,georgia,Winter,15.0
2022,hawaii,Summer,2.0
2022,hawaii,Winter,4.5
2022,idaho,Summer,13.0
2022,idaho,Winter,7.0
2022,illinois,Summer,12.0
2022,illinois,Winter,14.5
2022,indiana,Summer,16.0
2022,indiana,Winter,19.0
2022,iowa,Summer,8.0
2022,iowa,Winter,9.0
2022,kansas,Summer,13.0
2022,kansas,Winter,18.0
2022,kentucky,Summer,6.0
2022,kentucky,Winter,11.0
2022,louisiana,Summer,4.0
2022,louisiana,Winter,11.0
2022,maine,Summer,5.0
2022,maine,Winter,9.0
2022,maryland,Summer,5.0
2022,maryland,Winter,18.5
2022,massachusetts,Summer,2.0
2022,massachusetts,Winter,9.5
2022,michigan,Summer,4.0
2022,michigan,Winter,6.0
2022,minnesota,Summer,1.0
2022,minnesota,Winter,6.5
2022,mississippi,Summer,9.0
2022,mississippi,Winter,11.0
2022,missouri,Summer,14.0
2022,missouri,Winter,7.5
2022,montana,Summer,1.0
2022,montana,Winter,9.0
2022,nebraska,Summer,5.0
2022,nebraska,Winter,10.0
2022,new jersey,Summer,1.0
2022,new jersey,Winter,3.0
2022,new mexico,Summer,23.0
2022,new mexico,Winter,29.5
2022,new york,Summer,4.0
2022,new york,Winter,22.5
2022,north carolina,Summer,4.0
2022,north carolina,Winter,10.0
2022,north dakota,Summer,4.0
2022,north dakota,Winter,3.0
