13.1,5.1,11.1,2.8,20.2,17.2,13.3,16.1,16.6,13.4,77.7,16.7,86,11.8,18.2,37,5.4,18.4,19.2,8.4,17.4,30.8,13.1,16.6,21.9,24,17.3,11.1,11.5
8.7,9,52.5,35.5,0.6,30.3,41.9,59.1,34,20,42.3,54.2,28.9,42.9,43.8,40.7,15.1,28,15.7,4,12.1,36.6,15.1,15,20.8,19.5,27.2,0.5,9.2
5.9,6.5,33.2,15.5,1.8,6.1,20.4,10.5,14.8,50.1,15.1,26.6,4.5,5,24.1,3,32.3,29.2,5.8,2.2,17.5,23.4,3.6,11,17.3,13.7,28,3.2,26.6
40.1,52.5,7.2,7.7,8,11.9,20.2,28.6,16.3,21.4,10.7,18.9,14.9,16.5,12.3,14,15.3,26.1,2.5,9.4,15.4,21.7,6.8,18.7,11.8,10.7,8.6,13.3,7
17.1,38.8,61.2,30.9,69,59.1,59.5,46.2,93.9,88.4,74.3,86.1,42.8,0.3,0,81.3,3.5,39.5,5.2,2.1,3,33.8,15.7,14.2,60,22.5,65.6,48.7,52
7.6,19.1,40,24.5,27.5,20.4,37.4,27.8,20.4,22.2,45.1,22.3,25.3,39.6,40.7,26,10.6,30.7,33.3,6.6,20.7,18.2,19.2,15,35.8,37.7,48,16.6,23.2
35.5,51,33.9,9.6,9.5,51.8,27.8,24,34.7,23.4,74.5,64.2,29.7,9.7,66,53,16.4,26.9,44.5,35.7,23,70.5,37.7,23.5,35.8,29.3,24.1,23.4,23.9
1.7,15.5,33.8,10.8,2.7,16.2,38,23.5,0.8,29.3,42,41.7,1.4,34.8,52.6,29.5,6.9,48.4,43,0.6,28.8,61.3,60.2,12,29.2,31.7,28,33.1,38.7
10.7,15.8,30.7,36.3,41.6,10.6,60.6,42,25.8,45.5,51.5,45.3,39.6,38.8,58.9,29.3,49.3,40.6,33.2,17.6,23.8,28.6,42.4,26.6,62.1,78.7,36.6,18,51.2
14.5,66.1,1.6,2.8,4.9,51.8,7.5,4.9,11.9,23.6,22,1,24.1,60.2,59.6,13.1,7.7,29,1,11.4,16.2,52.4,2.3,7.6,3.1,14.5,5.6,18.8,8.4
20.2,39.3,56,16.4,20.4,52.7,52.9,25.5,28.7,37.2,54.4,50.6,36,46.1,57.2,44.1,18,35.4,35.8,24.4,28,42.4,28.5,12.8,17.2,39.4,28.8,11.4,49.3
28.1,11.4,45.1,32.2,44.8,18.7,27.3,18.7,20.9,13.5,41.4,44.7,34.4,31.3,23.5,26.9,15.3,23.4,33.2,15.5,26.6,32.2,28.1,18.1,21.4,40.5,30.3,14.6,19
10.5,29.9,58.4,14.2,10.7,51.3,20.4,29,12.6,24.3,26.4,31.6,29.3,14.2,76.8,32.2,18.5,44.9,56.7,15.5,29.1,27.1,22.9,48.5,48.4,15.8,28.1,38,29.9
1.2,9.8,22,16.8,0.2,32.4,48.8,48.9,2.9,8.7,47.4,17.3,4.4,55.1,54.7,12.8,0.8,10.4,12.2,14.7,53.3,87,22.6,8.6,49.4,18.3,45.8,4.2,44.5
22.2,47.8,50.8,43.6,19.7,40.9,22.5,19.9,28.6,53.4,42.8,22.8,29.2,30,70.6,49.8,62.8,51.4,66.6,18.9,31.2,37.7,33.8,34.4,22.4,16,33.5,12.9,30.9
21.5,19.3,30.7,20.9,19.4,26.1,47.2,33.1,36.2,28.7,33.7,33.9,21.5,26.5,18.8,18.6,26.1,21.9,23.1,12.2,30.2,20.2,27.4,17.7,38.1,20.2,19.4,21.2,39.2
13.6,27.2,40.1,75.8,26.2,23,32.1,26.4,38.7,36.7,40.5,24.3,18.7,43.5,34,48,22.9,29.4,22.1,38.9,38.4,61.7,49.5,45.4,40,40,4.8,3.2,40.1
2.3,3.7,22.7,57.1,1.3,2.6,5.6,44.5,6,3.3,16.8,96.6,17,21.8,29.3,6.2,6.2,22.2,21,9.1,10.7,26.6,10,21.1,28.1,25.4,16.1,15.2,21.2
19,26.2,29,26.3,32.7,23.1,39.1,31.4,21.4,18.7,50.3,20.9,26,22.7,39,57.1,16.6,37.9,37.7,17.5,33.7,27.5,30.3,11.9,13.3,19.2,31.8,25.7,30.8
21.5,48.7,45.6,6.9,23.3,40.9,65.2,21.4,6.8,21.3,23.7,21.7,8.5,55.9,7.1,34.5,22.3,47.3,40.3,1.7,10.6,19.2,25.5,14.8,31.7,34.3,42.3,8.3,50.8
18,15.6,21.7,18.8,21.9,20.1,41.5,23.8,15.8,11.6,23.2,60.1,15,13.8,57,29.5,10.3,33.7,65.8,17.3,46.2,17.7,7.2,13.6,5.2,24.7,13.8,15.8,13.1
18.8,35.3,47.3,49.4,24.2,23.4,31.5,69.3,19,13.8,61.6,53.1,14.1,32.1,54.4,29.9,15.9,46.4,40,9,46.1,43.1,29.3,16.1,26.1,56,28.4,7.9,27
