"year","months","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","state"
"2019","January-March",15.33,0,2.93666666666667,5.41666666666667,7.35,"Arkansas"
"2019","April-June",29.83,9.83,4.03333333333333,7.85,20.56,"Arkansas"
"2019","July-September",32.78,20.22,4.48,3.77333333333333,26.48,"Arkansas"
"2019","October-December",22.44,1.56,4.21666666666667,4.84333333333333,10.54,"Arkansas"
"2020","January-March",18.83,1.83,3.85,6.44333333333333,9.06,"Arkansas"
"2020","April-June",30.44,8.78,4.07,5.90666666666667,19.63,"Arkansas"
"2020","July-September",32.67,17,4.39333333333333,5.34333333333333,24.98,"Arkansas"
"2020","October-December",21.39,-0.11,4.23,3.58,11.11,"Arkansas"
"2021","January-March",19.56,-3.39,3.04,4.55666666666667,6.54,"Arkansas"
"2021","April-June",30.33,8.17,2.99,5.72666666666667,19.63,"Arkansas"
"2021","July-September",32.61,16.72,1.95,3.2,25.63,"Arkansas"
"2021","October-December",24.83,2.78,-1.02666666666667,3.27666666666667,13.39,"Arkansas"
"2022","January-March",18.33,-3,-0.34,4.52666666666667,6.85,"Arkansas"
"2022","April-June",31.78,9.22,0.533333333333333,5.45333333333333,20.93,"Arkansas"
"2015","January-March",21.22,3.28,-5.12333333333333,1.43,11.61,"California"
"2015","April-June",31.72,6.11,-5.25666666666667,0.74,17.76,"California"
"2015","July-September",32.78,14.44,-4.69333333333333,0.356666666666667,23.63,"California"
"2015","October-December",25.28,0.44,-4.11666666666667,2.48666666666667,10.91,"California"
"2016","January-March",17.89,2.28,-2.45666666666667,4.16,9.78,"California"
"2016","April-June",31.28,7.5,-1.95666666666667,0.853333333333333,18.07,"California"
"2016","July-September",33.28,12.67,-2.51666666666667,0.0733333333333333,23.43,"California"
"2016","October-December",22.22,1.06,1.39666666666667,3.49,11.24,"California"
"2017","January-March",18.39,1.11,2.64,6.77,8.69,"California"
"2017","April-June",30.72,6.44,-9.26089355664702e-18,1.15,17.74,"California"
"2017","July-September",34.28,13.67,-0.896666666666667,0.263333333333333,24.17,"California"
"2017","October-December",24.72,1.78,-1.86333333333333,1.20666666666667,12.39,"California"
"2018","January-March",15.39,1.22,-3.44333333333333,3.00666666666667,8.98,"California"
"2018","April-June",30.28,6.83,-2.44666666666667,0.953333333333333,17.7,"California"
"2018","July-September",34.44,13.39,-2.68333333333333,0.106666666666667,24.28,"California"
"2018","October-December",23.06,2.06,-2.96333333333333,1.96333333333333,11.54,"California"
"2019","January-March",15.11,0.06,1.54,5.95,7.33,"California"
