year_revisited,state,season,colony_lost_pct
2018,Virginia,Summer,8.5
2018,Virginia,Winter,21.0
2018,Washington,Summer,9.5
2018,Washington,Winter,5.5
2018,West Virginia,Summer,7.0
2018,West Virginia,Winter,19.0
2018,Wisconsin,Summer,13.0
2018,Wisconsin,Winter,15.5
2018,Wyoming,Summer,10.5
2018,Wyoming,Winter,7.5
2019,Alabama,Summer,14.0
2019,Alabama,Winter,12.5
2019,Arizona,Summer,7.0
2019,Arizona,Winter,15.0
2019,Arkansas,Summer,10.0
2019,Arkansas,Winter,21.0
2019,California,Summer,13.0
2019,California,Winter,14.5
2019,Colorado,Summer,26.0
2019,Colorado,Winter,8.0
2019,Connecticut,Summer,5.0
2019,Connecticut,Winter,7.5
2019,Florida,Summer,8.0
2019,Florida,Winter,15.0
2019,Georgia,Summer,11.0
2019,Georgia,Winter,11.5
2019,Hawaii,Summer,1.0
2019,Hawaii,Winter,4.0
2019,Idaho,Summer,9.0
2019,Idaho,Winter,9.0
2019,Illinois,Summer,7.0
2019,Illinois,Winter,19.0
2019,Indiana,Summer,6.0
2019,Indiana,Winter,24.5
2019,Iowa,Summer,10.0
2019,Iowa,Winter,17.0
2019,Kansas,Summer,25.0
2019,Kansas,Winter,25.5
2019,Kentucky,Summer,10.0
2019,Kentucky,Winter,24.5
2019,Louisiana,Summer,9.0
2019,Louisiana,Winter,6.0
2019,Maine,Summer,9.0
2019,Maine,Winter,9.5
2019,Maryland,Summer,11.0
2019,Maryland,Winter,18.5
2019,Massachusetts,Summer,8.0
2019,Massachusetts,Winter,15.5
2019,Michigan,Summer,11.0
2019,Michigan,Winter,14.0
2019,Minnesota,Summer,16.0
2019,Minnesota,Winter,9.0
2019,Mississippi,Summer,13.0
2019,Mississippi,Winter,8.0
2019,Missouri,Summer,5.0
2019,Missouri,Winter,11.0
2019,Montana,Summer,12.0
2019,Montana,Winter,5.0
2019,Nebraska,Summer,9.0
2019,Nebraska,Winter,13.0
2019,New Jersey,Summer,4.0
2019,New Jersey,Winter,6.5
2019,New Mexico,Summer,3.0
2019,New Mexico,Winter,21.0
2019,New York,Summer,12.0
2019,New York,Winter,11.0
2019,North Carolina,Summer,12.0
2019,North Carolina,Winter,14.5
2019,North Dakota,Summer,15.0
2019,North Dakota,Winter,4.0
2019,Ohio,Summer,8.0
2019,Ohio,Winter,21.0
2019,Oklahoma,Summer,12.0
2019,Oklahoma,Winter,4.0
2019,Oregon,Summer,7.0
2019,Oregon,Winter,10.5
2019,Other States,Summer,15.0
2019,Other States,Winter,11.5
2019,Pennsylvania,Summer,5.0
2019,Pennsylvania,Winter,19.0
2019,South Carolina,Summer,15.0
2019,South Carolina,Winter,8.5
2019,South Dakota,Summer,20.0
2019,South Dakota,Winter,10.5
2019,Tennessee,Summer,32.0
2019,Tennessee,Winter,21.5
2019,Texas,Summer,8.0
2019,Texas,Winter,6.0
2019,Utah,Summer,10.0
2019,Utah,Winter,14.5
2019,Vermont,Summer,2.0
2019,Vermont,Winter,3.5
2019,Virginia,Summer,6.0
2019,Virginia,Winter,18.0
2019,Washington,Summer,22.0
2019,Washington,Winter,11.5
2019,West Virginia,Summer,11.0
2019,West Virginia,Winter,18.0
2019,Wisconsin,Summer,10.0
2019,Wisconsin,Winter,20.0
2019,Wyoming,Summer,11.0
2019,Wyoming,Winter,5.5
2020,Alabama,Summer,33.5
2020,Alabama,Winter,8.0
2020,Arizona,Summer,16.0
2020,Arizona,Winter,19.5
2020,Arkansas,Summer,9.5
2020,Arkansas,Winter,7.5
2020,California,Summer,8.0
2020,California,Winter,11.5
2020,Colorado,Summer,16.0
2020,Colorado,Winter,17.0
2020,Connecticut,Summer,3.5
2020,Connecticut,Winter,8.0
2020,Florida,Summer,12.5
2020,Florida,Winter,10.0
2020,Georgia,Summer,10.5
2020,Georgia,Winter,13.5
2020,Hawaii,Summer,3.0
2020,Hawaii,Winter,8.5
2020,Idaho,Summer,15.5
2020,Idaho,Winter,9.5
2020,Illinois,Summer,11.5
2020,Illinois,Winter,14.5
2020,Indiana,Summer,9.5
2020,Indiana,Winter,10.5
2020,Iowa,Summer,8.5
2020,Iowa,Winter,15.5
2020,Kansas,Summer,9.5
2020,Kansas,Winter,12.0
2020,Kentucky,Summer,11.5
2020,Kentucky,Winter,8.0
2020,Louisiana,Summer,4.0
2020,Louisiana,Winter,7.5
2020,Maine,Summer,10.5
2020,Maine,Winter,7.5
2020,Maryland,Summer,9.0
2020,Maryland,Winter,11.5
2020,Massachusetts,Summer,4.0
2020,Massachusetts,Winter,16.5
2020,Michigan,Summer,17.5
2020,Michigan,Winter,8.5
2020,Minnesota,Summer,7.0
2020,Minnesota,Winter,9.0
2020,Mississippi,Summer,7.0
2020,Mississippi,Winter,15.0
2020,Missouri,Summer,7.5
2020,Missouri,Winter,20.0
2020,Montana,Summer,4.5
2020,Montana,Winter,9.0
2020,Nebraska,Summer,7.0
2020,Nebraska,Winter,5.5
2020,New Jersey,Summer,8.0
2020,New Jersey,Winter,2.5
2020,New Mexico,Summer,15.0
2020,New Mexico,Winter,1.0
2020,New York,Summer,7.5
2020,New York,Winter,12.5
2020,North Carolina,Summer,11.5
2020,North Carolina,Winter,14.0
2020,North Dakota,Summer,7.5
2020,North Dakota,Winter,5.5
2020,Ohio,Summer,9.5
2020,Ohio,Winter,21.0
2020,Oklahoma,Summer,11.5
2020,Oklahoma,Winter,5.5
2020,Oregon,Summer,6.5
2020,Oregon,Winter,8.0
2020,Other States,Summer,10.5
2020,Other States,Winter,8.5
2020,Pennsylvania,Summer,6.0
2020,Pennsylvania,Winter,11.0
2020,South Carolina,Summer,11.0
2020,South Carolina,Winter,9.5
2020,South Dakota,Summer,15.0
2020,South Dakota,Winter,5.0
2020,Tennessee,Summer,12.0
2020,Tennessee,Winter,11.5
2020,Texas,Summer,5.5
2020,Texas,Winter,8.5
2020,Utah,Summer,8.0
2020,Utah,Winter,8.0
2020,Vermont,Summer,3.5
2020,Vermont,Winter,5.0
2020,Virginia,Summer,14.5
2020,Virginia,Winter,15.5
2020,Washington,Summer,5.0
2020,Washington,Winter,7.5
2020,West Virginia,Summer,7.5
2020,West Virginia,Winter,16.5
2020,Wisconsin,Summer,7.5
2020,Wisconsin,Winter,12.0
2020,Wyoming,Summer,9.0
2020,Wyoming,Winter,6.5
2021,Alabama,Summer,21.5
2021,Alabama,Winter,9.0
2021,Arizona,Summer,18.5
2021,Arizona,Winter,19.5
2021,Arkansas,Summer,11.0
2021,Arkansas,Winter,9.5
2021,California,Summer,5.0
2021,California,Winter,12.0
2021,Colorado,Summer,16.5
2021,Colorado,Winter,15.0
2021,Connecticut,Summer,2.5
2021,Connecticut,Winter,15.0
2021,Florida,Summer,13.0
2021,Florida,Winter,10.0
2021,Georgia,Summer,16.5
2021,Georgia,Winter,17.0
2021,Hawaii,Summer,4.0
2021,Hawaii,Winter,8.5
2021,Idaho,Summer,9.5
2021,Idaho,Winter,10.0
2021,Illinois,Summer,6.5
2021,Illinois,Winter,18.5
2021,Indiana,Summer,7.0
2021,Indiana,Winter,16.5
2021,Iowa,Summer,8.0
2021,Iowa,Winter,10.5
2021,Kansas,Summer,14.5
2021,Kansas,Winter,28.0
2021,Kentucky,Summer,6.0
2021,Kentucky,Winter,16.0
2021,Louisiana,Summer,7.5
2021,Louisiana,Winter,8.5
2021,Maine,Summer,10.0
2021,Maine,Winter,5.5
2021,Maryland,Summer,6.0
2021,Maryland,Winter,14.5
2021,Massachusetts,Summer,8.0
2021,Massachusetts,Winter,12.0
2021,Michigan,Summer,5.5
2021,Michigan,Winter,6.0
2021,Minnesota,Summer,6.5
