state,year,months,colony_n,colony_end_computed,percentage end colonies,cumulative percentage
north carolina,2021,Q4,21000.0,19160.0,-0.08761904761904762,-0.3907
north carolina,2022,Q1,20000.0,20800.0,0.04,-0.3507
north dakota,2015,Q4,230000.0,197700.0,-0.14043478260869566,-0.2153
north dakota,2016,Q1,89000.0,85100.0,-0.043820224719101124,-0.2592
north dakota,2016,Q2,110000.0,106000.0,-0.03636363636363636,-0.2955
north dakota,2016,Q3,510000.0,464000.0,-0.09019607843137255,-0.3857
north dakota,2016,Q4,385000.0,354500.0,-0.07922077922077922,-0.4649
north dakota,2017,Q1,50000.0,50460.0,0.0092,-0.4557
north dakota,2017,Q2,115000.0,130000.0,0.13043478260869565,-0.3253
north dakota,2017,Q3,470000.0,446000.0,-0.05106382978723404,-0.3764
north dakota,2017,Q4,410000.0,394000.0,-0.03902439024390244,-0.4154
north dakota,2018,Q1,66000.0,65400.0,-0.00909090909090909,-0.4245
north dakota,2018,Q2,74000.0,74000.0,0.0,-0.4245
north dakota,2018,Q3,455000.0,419000.0,-0.07912087912087912,-0.5036
north dakota,2018,Q4,430000.0,408500.0,-0.05,-0.5536
north dakota,2019,Q1,92000.0,90900.0,-0.011956521739130435,-0.5656
north dakota,2019,Q3,530000.0,464000.0,-0.12452830188679245,-0.6901
north dakota,2019,Q4,420000.0,396000.0,-0.05714285714285714,-0.7472
north dakota,2020,Q1,53000.0,45500.0,-0.14150943396226415,-0.8888
north dakota,2020,Q2,67000.0,100000.0,0.4925373134328358,-0.3962
north dakota,2020,Q3,455000.0,459000.0,0.008791208791208791,-0.3874
north dakota,2020,Q4,445000.0,412500.0,-0.07303370786516854,-0.4605
north dakota,2021,Q1,51000.0,53520.0,0.04941176470588235,-0.411
north dakota,2021,Q2,42000.0,47500.0,0.13095238095238096,-0.2801
north dakota,2021,Q3,510000.0,450500.0,-0.11666666666666667,-0.3968
north dakota,2021,Q4,485000.0,469000.0,-0.032989690721649485,-0.4297
north dakota,2022,Q1,75000.0,75180.0,0.0024,-0.4273
north dakota,2022,Q2,90000.0,85500.0,-0.05,-0.4773
ohio,2015,Q1,18000.0,12500.0,-0.3055555555555556,-0.3056
oklahoma,2015,Q1,9500.0,6100.0,-0.35789473684210527,-0.3579
oklahoma,2015,Q2,25000.0,28300.0,0.132,-0.2259
oklahoma,2015,Q3,19500.0,19430.0,-0.0035897435897435897,-0.2295
oklahoma,2015,Q4,5000.0,4640.0,-0.072,-0.3015
oklahoma,2016,Q4,3100.0,520.0,-0.832258064516129,-0.8584
oklahoma,2017,Q1,26000.0,34950.0,0.34423076923076923,-0.5141
oklahoma,2017,Q2,17000.0,21500.0,0.2647058823529412,-0.2494
oklahoma,2017,Q3,4400.0,3970.0,-0.09772727272727273,-0.3472
oklahoma,2017,Q4,3700.0,3640.0,-0.016216216216216217,-0.3634
oklahoma,2018,Q1,17000.0,14190.0,-0.1652941176470588,-0.5287
oklahoma,2018,Q4,2200.0,-240.0,-1.1090909090909091,-1.2367
oklahoma,2019,Q1,21000.0,20970.0,-0.0014285714285714286,-1.2381
oklahoma,2019,Q3,7500.0,6700.0,-0.10666666666666667,-1.3448
oklahoma,2019,Q4,6500.0,4460.0,-0.31384615384615383,-1.6586
oklahoma,2020,Q1,19500.0,23800.0,0.2205128205128205,-1.4381
oklahoma,2020,Q2,16000.0,20500.0,0.28125,-1.1569
oklahoma,2020,Q3,7000.0,6050.0,-0.1357142857142857,-1.2926
oklahoma,2020,Q4,7000.0,6950.0,-0.007142857142857143,-1.2997
oklahoma,2021,Q1,28000.0,29500.0,0.05357142857142857,-1.2462
oklahoma,2021,Q2,17000.0,17600.0,0.03529411764705882,-1.2109
oklahoma,2021,Q3,3300.0,3380.0,0.024242424242424242,-1.1866
oklahoma,2021,Q4,3300.0,2130.0,-0.35454545454545455,-1.5412
oklahoma,2022,Q1,20000.0,17050.0,-0.1475,-1.6887
oklahoma,2022,Q2,12500.0,21900.0,0.752,-0.9367
other states,2015,Q1,3410.0,2200.0,-0.3548387096774194,-0.3548
other states,2015,Q4,11360.0,9830.0,-0.13468309859154928,-0.2214
other states,2016,Q1,7340.0,6500.0,-0.11444141689373297,-0.3358
other states,2017,Q1,6190.0,4780.0,-0.22778675282714056,-0.395
other states,2017,Q2,5650.0,6360.0,0.1256637168141593,-0.2693
other states,2017,Q3,8100.0,7410.0,-0.08518518518518518,-0.3545
other states,2017,Q4,6070.0,5860.0,-0.03459637561779242,-0.3891
other states,2018,Q1,3820.0,2110.0,-0.4476439790575916,-0.8368
other states,2018,Q2,4380.0,5750.0,0.3127853881278539,-0.524
other states,2018,Q3,6490.0,6080.0,-0.06317411402157165,-0.5871
other states,2018,Q4,8370.0,7240.0,-0.13500597371565112,-0.7222
other states,2019,Q1,6070.0,5550.0,-0.085667215815486,-0.8078
other states,2019,Q3,13660.0,11900.0,-0.12884333821376281,-0.9367
other states,2019,Q4,11010.0,9950.0,-0.09627611262488647,-1.0329
other states,2020,Q1,7800.0,7920.0,0.015384615384615385,-1.0176
other states,2020,Q2,6500.0,7640.0,0.1753846153846154,-0.8422
other states,2020,Q3,10630.0,10780.0,0.014111006585136407,-0.8281
other states,2020,Q4,10640.0,8250.0,-0.22462406015037595,-1.0527
other states,2021,Q1,6640.0,6850.0,0.03162650602409638,-1.0211
other states,2021,Q2,6020.0,8760.0,0.45514950166112955,-0.5659
other states,2021,Q3,8890.0,8570.0,-0.0359955005624297,-0.6019
other states,2021,Q4,8990.0,8620.0,-0.041156840934371525,-0.6431
other states,2022,Q1,6870.0,6480.0,-0.056768558951965066,-0.6998
other states,2022,Q2,4390.0,5170.0,0.1776765375854214,-0.5222
pennsylvania,2015,Q1,14000.0,7860.0,-0.43857142857142856,-0.4386
pennsylvania,2016,Q1,12500.0,10080.0,-0.1936,-0.2416
south carolina,2015,Q4,10000.0,8440.0,-0.156,-0.2408
south carolina,2016,Q1,16500.0,16200.0,-0.01818181818181818,-0.2589
south carolina,2016,Q4,12000.0,11460.0,-0.045,-0.2266
south dakota,2016,Q1,47000.0,38100.0,-0.18936170212765957,-0.2579
south dakota,2016,Q3,178000.0,157200.0,-0.11685393258426967,-0.2963
south dakota,2016,Q4,146000.0,135000.0,-0.07534246575342465,-0.3717
south dakota,2017,Q1,21000.0,19800.0,-0.05714285714285714,-0.4288
south dakota,2017,Q2,30000.0,27000.0,-0.1,-0.5288
south dakota,2017,Q3,152000.0,141500.0,-0.06907894736842106,-0.5979
south dakota,2017,Q4,111000.0,104500.0,-0.05855855855855856,-0.6565
south dakota,2018,Q1,23000.0,22860.0,-0.00608695652173913,-0.6626
south dakota,2018,Q2,10000.0,5500.0,-0.45,-1.1126
south dakota,2018,Q3,168000.0,154000.0,-0.08333333333333333,-1.1959
south dakota,2018,Q4,140000.0,121000.0,-0.1357142857142857,-1.3316
south dakota,2019,Q1,18500.0,17400.0,-0.05945945945945946,-1.3911
south dakota,2019,Q3,255000.0,205300.0,-0.19490196078431374,-1.586
south dakota,2019,Q4,189000.0,181500.0,-0.03968253968253968,-1.6256
south dakota,2020,Q1,20000.0,18820.0,-0.059,-1.6846
south dakota,2020,Q2,9500.0,14900.0,0.5684210526315789,-1.1162
south dakota,2020,Q3,230000.0,194000.0,-0.1565217391304348,-1.2727
south dakota,2020,Q4,197000.0,182000.0,-0.07614213197969544,-1.3489
south dakota,2021,Q1,28000.0,27550.0,-0.01607142857142857,-1.365
tennessee,2019,Q1,6000.0,4740.0,-0.21,-0.3281
tennessee,2019,Q3,14000.0,11700.0,-0.16428571428571428,-0.4924
tennessee,2019,Q4,11000.0,9720.0,-0.11636363636363636,-0.6088
tennessee,2020,Q1,8000.0,7500.0,-0.0625,-0.6713
tennessee,2020,Q2,13500.0,16500.0,0.2222222222222222,-0.449
tennessee,2020,Q3,15000.0,13260.0,-0.116,-0.565
tennessee,2020,Q4,13500.0,12840.0,-0.04888888888888889,-0.6139
tennessee,2021,Q1,12000.0,10260.0,-0.145,-0.7589
tennessee,2021,Q2,12000.0,16080.0,0.34,-0.4189
tennessee,2021,Q3,13500.0,13250.0,-0.018518518518518517,-0.4375
tennessee,2021,Q4,15500.0,14120.0,-0.08903225806451613,-0.5265
tennessee,2022,Q1,10500.0,9500.0,-0.09523809523809523,-0.6217
vermont,2018,Q1,5500.0,4710.0,-0.14363636363636365,-0.2288
virginia,2015,Q1,8000.0,6300.0,-0.2125,-0.2125
washington,2016,Q1,77000.0,69000.0,-0.1038961038961039,-0.2047
washington,2020,Q4,102000.0,91500.0,-0.10294117647058823,-0.2631
washington,2022,Q1,70000.0,63900.0,-0.08714285714285715,-0.2398
west virginia,2015,Q1,4700.0,3470.0,-0.26170212765957446,-0.2617
west virginia,2018,Q1,4700.0,2530.0,-0.46170212765957447,-0.2036
west virginia,2019,Q1,5000.0,3720.0,-0.256,-0.4234
west virginia,2019,Q3,10000.0,9100.0,-0.09,-0.5134
west virginia,2019,Q4,7500.0,6030.0,-0.196,-0.7094
west virginia,2020,Q1,6000.0,5500.0,-0.08333333333333333,-0.7927
west virginia,2020,Q2,7500.0,8530.0,0.13733333333333334,-0.6554
west virginia,2020,Q3,8000.0,7670.0,-0.04125,-0.6966
west virginia,2020,Q4,7500.0,7070.0,-0.05733333333333333,-0.7539
west virginia,2021,Q1,7000.0,6000.0,-0.14285714285714285,-0.8968
west virginia,2021,Q2,8000.0,9730.0,0.21625,-0.6806
west virginia,2021,Q3,8000.0,7750.0,-0.03125,-0.7118
west virginia,2021,Q4,7500.0,6950.0,-0.07333333333333333,-0.7851
west virginia,2022,Q1,5500.0,4920.0,-0.10545454545454545,-0.8906
west virginia,2022,Q2,5000.0,7140.0,0.428,-0.4626
wisconsin,2015,Q1,16500.0,11600.0,-0.296969696969697,-0.297
wisconsin,2015,Q3,60000.0,52300.0,-0.12833333333333333,-0.2093
wisconsin,2015,Q4,48000.0,41710.0,-0.13104166666666667,-0.3403
wisconsin,2016,Q1,20000.0,17430.0,-0.1285,-0.4688
wisconsin,2017,Q1,17000.0,13050.0,-0.2323529411764706,-0.3361
wisconsin,2018,Q4,48000.0,41100.0,-0.14375,-0.2227
wisconsin,2019,Q1,16500.0,13380.0,-0.1890909090909091,-0.4118
