"state_code","year","quarter","media","min","max"
"20",2017,"4",7.73515,"0.4","22.8"
"20",2018,"1",10.5133,"3.5","26.4"
"20",2018,"2",8.79376666666667,"2.1","34.8"
"20",2018,"3",9.3898,"1.6","31.3"
"20",2018,"4",7.80033333333333,"1.2","24.8"
"20",2019,"1",8.733,"0.9","22.2"
"20",2019,"2",7.723375,"0.0","69.3"
"20",2019,"3",9.50523333333333,"3.4","20.1"
"20",2019,"4",7.7216,"1.2","23.2"
"20",2020,"1",8.120275,"2.1","38.8"
"20",2020,"2",8.91572,"1.8","72.7"
"20",2020,"3",9.341975,"1.0","42.1"
"20",2020,"4",8.2702,"0.2","22.4"
"20",2021,"1",9.10478,"0.8","39.9"
"20",2021,"2",8.56856,"1.7","32.0"
"20",2021,"3",12.99682,"4.5","55.8"
"20",2021,"4",8.82368,"1.4","43.8"
"20",2022,"1",8.82258,"2.2","28.9"
"20",2022,"2",9.42614,"1.0","35.3"
"21",2015,"1",9.56535,"0.1","22.1"
"21",2015,"2",9.67335,"4.0","26.9"
"21",2015,"3",11.16515,"2.7","49.8"
"21",2015,"4",6.017825,"1.4","9.1"
"21",2016,"1",7.023475,"1.5","9.7"
"21",2016,"2",7.81715,"4.2","14.2"
"21",2016,"3",7.701675,"3.2","15.2"
"21",2016,"4",10.4167,"2.6","39.7"
"21",2017,"1",7.39845,"2.7","16.1"
"21",2017,"2",6.1719,"1.9","9.2"
"21",2017,"3",9.116975,"3.4","15.0"
"21",2017,"4",7.9472,"2.5","17.2"
"21",2018,"1",8.303225,"2.7","17.3"
"21",2018,"2",8.88995,"4.0","17.6"
"21",2018,"3",8.8742,"2.5","21.5"
"21",2018,"4",7.806,"2.7","28.2"
"21",2019,"1",7.040925,"1.8","15.8"
"21",2019,"2",6.846975,"2.6","16.6"
"21",2019,"3",9.52393333333333,"3.8","16.9"
"21",2019,"4",6.40016666666667,"2.0","16.8"
"21",2020,"1",7.0822,"3.4","16.7"
"21",2020,"2",7.0465,"1.9","13.8"
"21",2020,"3",8.0432,"3.4","14.7"
"21",2020,"4",7.39996666666667,"2.3","17.5"
"21",2021,"1",9.6333,"4.9","29.8"
"21",2021,"2",7.06175,"3.4","13.0"
"21",2021,"3",10.8467,"4.8","24.2"
"21",2021,"4",4.6467,"0.3","9.9"
"21",2022,"1",7.26785,"2.6","16.5"
"21",2022,"2",8.66735,"2.5","21.1"
"22",2015,"1",7.9,"4.5","12.7"
"22",2015,"3",10.72,"7.4","14.2"
"22",2015,"4",10.13,"3.0","16.7"
"22",2016,"1",9.4125,"5.2","18.9"
"22",2016,"2",9.9889,"6.4","15.9"
"22",2016,"3",11.7,"4.8","17.3"
"22",2016,"4",10.35,"5.2","15.0"
"22",2017,"1",9.4857,"6.6","12.6"
"22",2017,"2",11.825,"7.7","16.8"
"22",2017,"3",12.6333,"8.9","18.5"
"22",2017,"4",8.8,"4.1","16.4"
"22",2018,"1",7.6429,"3.0","16.5"
"22",2018,"2",10.5143,"6.0","15.7"
"22",2018,"3",15.3714,"4.8","43.1"
"22",2018,"4",8.7889,"4.0","15.1"
"22",2019,"1",8.8889,"5.1","12.9"
"22",2019,"2",12.1667,"5.5","19.1"
"22",2019,"3",12.275,"4.6","22.3"
"22",2019,"4",10.1,"3.8","18.5"
"22",2020,"1",7.3111,"4.4","10.4"
"22",2020,"2",8.425,"4.8","14.5"
"22",2020,"3",14.0444,"3.5","26.7"
"22",2020,"4",8.225,"3.5","12.4"
"22",2021,"1",8.3,"5.2","10.9"
"22",2021,"2",9.325,"5.5","14.8"
"22",2021,"3",9.6,"6.7","16.1"
"22",2021,"4",8.1625,"4.1","13.2"
"22",2022,"1",9.3625,"4.6","12.0"
"22",2022,"2",11.25,"6.7","14.8"
"23",2015,"1",8.45456666666667,"0.2","33.8"
"23",2015,"2",4.712075,"-0.6","9.2"
"23",2015,"3",7.56425714285714,"-0.8","28.1"
"23",2015,"4",6.19671666666667,"0.5","9.6"
"23",2016,"1",6.72908333333333,"-0.2","8.6"
"23",2016,"2",4.68242857142857,"-0.6","9.1"
"23",2016,"3",4.82818571428571,"-0.2","8.9"
"23",2016,"4",5.62023333333333,"-0.4","6.8"
"23",2017,"1",7.32476,"-1.7","8.0"
"23",2017,"2",3.44418,"-1.2","9.4"
"23",2017,"3",6.49102857142857,"0.3","9.6"
"23",2017,"4",6.5162,"-0.7","9.7"
"23",2018,"1",6.66663333333333,"0.0","27.0"
"23",2018,"2",4.98358571428571,"-1.6","93.2"
"23",2018,"3",6.0439,"-0.4","9.9"
"23",2018,"4",4.70908333333333,"-0.1","8.0"
"23",2019,"1",5.19328333333333,"-0.8","6.6"
"23",2019,"2",3.2454,"-0.7","99.2"
"23",2019,"3",5.14276,"0.1","8.0"
"23",2019,"4",4.98175,"-0.5","17.5"
"23",2020,"1",6.134075,"0.0","8.0"
"23",2020,"2",4.63754,"-0.7","9.5"
"23",2020,"3",4.44468,"-0.2","9.9"
"23",2020,"4",4.6026,"-0.9","9.4"
"23",2021,"1",5.59892,"-0.2","8.8"
"23",2021,"2",4.58208,"-0.1","99.8"
"23",2021,"3",6.240275,"0.5","40.2"
"23",2021,"4",4.76906,"-0.1","9.2"
"23",2022,"1",6.01704,"-0.5","7.9"
"23",2022,"2",3.07272,"-0.1","9.6"
"23",2022,"3",4.08396666666667,"-0.3","9.2"
"24",2015,"1",7.77885,"3.6","19.3"
"24",2015,"2",10.01605,"0.0","28.1"
"24",2015,"3",8.0875,"0.0","18.1"
"24",2015,"4",6.7971,"0.0","15.8"
"24",2016,"1",8.30915,"4.0","25.0"
"24",2016,"2",5.85,"0.1","8.2"
"24",2016,"3",7.2714,"3.9","11.4"
"24",2016,"4",6.1,"1.6","12.3"
"24",2017,"1",6.1429,"2.1","12.1"
"24",2017,"2",6.025,"2.0","13.7"
"24",2017,"3",7.2,"4.2","11.2"
"24",2017,"4",6.7,"5.3","9.6"
"24",2018,"1",6.8875,"2.5","14.1"
"24",2018,"2",6.7286,"3.0","11.4"
"24",2018,"3",7.375,"3.4","13.5"
"24",2018,"4",3.0429,"1.0","5.1"
"24",2019,"1",6.4375,"2.2","21.4"
"24",2019,"2",5.0875,"1.9","12.1"
