"","Year","Period","State","State.ANSI","colony_added","colony_max","colony_cd_loss","colony_loss","colony_loss_pct","Disesases","Other","Pesticides","Pests.excl.Varroa.mites","Unknown","Varroa.mites","colony_reno_pct"
"67",2022,"JAN THRU MAR","MINNESOTA",27,"6,000","98,000","5,500","1,500","2","0","(Z)","(Z)","0","1","1.1","(Z)"
"68",2022,"JAN THRU MAR","MISSISSIPPI",28,"12,000","38,000","610","3,300","9","6.5","1.8","2","13.2","9.4","39.7","6"
"69",2022,"JAN THRU MAR","MISSOURI",29,"310","11,000","160","730","7","(Z)","5.3","0.5","8.6","5.2","11.1","5"
"70",2022,"JAN THRU MAR","MONTANA",30,"30","54,000","20","300","1","0","(Z)","0","0","(Z)","0.5","0"
"71",2022,"JAN THRU MAR","NEBRASKA",31,"30","30,000","760","840","3","0.7","(Z)","0","0","2.3","3.2","0"
"72",2022,"JAN THRU MAR","NEW JERSEY",34,"1,500","15,000","40","550","4","(Z)","0.6","0","3.9","1.8","13.3","(Z)"
"73",2022,"JAN THRU MAR","NEW MEXICO",35,"1,000","8,000","1,200","1,900","24","(Z)","0.5","0","(Z)","(Z)","48.7","0"
"74",2022,"JAN THRU MAR","NEW YORK",36,"370","44,000","910","5,500","13","(Z)","7.7","3.1","4.1","6.6","16.6","2"
"75",2022,"JAN THRU MAR","NORTH CAROLINA",37,"3,100","24,000","130","2,300","10","(Z)","2.4","0","7.6","1","23.4","2"
"76",2022,"JAN THRU MAR","NORTH DAKOTA",38,"300","89,000","9,500","120","(Z)","0","0","0","0","(Z)","33.1","0"
"77",2022,"JAN THRU MAR","OHIO",39,"30","16,000","980","1,800","11","0.7","2.2","1.7","4.8","7.2","18","3"
"78",2022,"JAN THRU MAR","OKLAHOMA",40,"50","20,000","20","3,000","15","0","0","0","(Z)","(Z)","18.8","18"
"79",2022,"JAN THRU MAR","OREGON",41,"2,400","95,000","6,500","5,000","5","0","(Z)","1.4","0","1.1","11.4","(Z)"
"80",2022,"JAN THRU MAR","OTHER STATES",NA,"320","7,230",NA,"710","10","4.3","2.1","1","2.4","0.8","11.6","1"
"81",2022,"JAN THRU MAR","PENNSYLVANIA",42,"470","25,000","840","2,800","11","(Z)","3.1","0.6","3.9","3","14.6","1"
"82",2022,"JAN THRU MAR","SOUTH CAROLINA",45,"4,500","20,000","200","2,500","13","0","4.5","(Z)","3.8","3.1","38","4"
"83",2022,"JAN THRU MAR","SOUTH DAKOTA",46,"40","28,000","490","1,000","4","0","1.8","(Z)","3.4","(Z)","4.2","0"
"84",2022,"JAN THRU MAR","TENNESSEE",47,"1,300","10,500","590","2,300","22","1","3.3","(Z)","5.1","3","12.9","2"
"85",2022,"JAN THRU MAR","TEXAS",48,"80,000","400,000","10,500","37,000","9","0.6","6","3.6","2.1","1.5","21.2","9"
"86",2022,"JAN THRU MAR","UTAH",49,"4,600","32,000","1,700","4,100","13","3","(Z)","0","1.5","0.5","3.2","2"
